On-Time Staus of Flight,DESTMARK,DESTGEO,TERM,STRATA,ATYPE,AIRLINE,DEST,GATE,INTDATE,Q1,Q1A,Q1MIL,DEPTIME,PASSTIME,PASSMIN,Q2_1,Q3_1,Q4A,Q4B,Q4C,Q5,Q6,Q7,SAQ,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q8G,Q8H,Q8I,Q8J,Q8K,Q8L,Q8M,Q8N,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q11,Q12,Q13,Q13A1,Q13A2,Q13A3,Q14,Q15A,Q15B,Q16,Q17,Q18STATE,Q18ZIP,Q18COUNTRY,HOME,Q19,Q20,Q21,MAIL,LANG
1,4,3,3,2,1,11,HOUSTON,88,2,103000,1,10:30,12:10,1:40,100,2,2,1,1,1,1,2,2,2,5,5,5,5,5,5,5,5,5,6,6,6,6,5,5,6,6,6,5,5,5,1,5,,,,5,5,5,2,3,IA,50265,US,11,5,0,3,1,1
1,4,3,3,2,1,11,HOUSTON,88,2,101500,1,10:15,12:10,1:55,115,6,1,1,1,0,2,2,1,2,4,3,3,4,3,3,3,3,3,3,0,0,0,4,4,4,0,0,4,4,5,2,,,,,5,3,3,1,3,TN,37849,US,11,6,2,1,1,1
1,4,3,3,2,1,11,HOUSTON,88,2,70000,1,7:00,12:10,5:10,310,1,4,1,1,1,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,0,0,0,0,5,4,2,,,,,12,4,3,1,3,NUEVA LEON,,MEXICO,13,5,1,2,1,1
1,4,3,3,2,1,11,HOUSTON,88,2,104500,1,10:45,12:10,1:25,85,2,2,1,0,1,2,2,1,2,4,3,3,3,5,3,3,3,3,3,3,6,6,4,4,6,6,6,4,4,0,2,,,,,5,2,0,1,3,TX,,US,11,2,2,0,1,1
1,4,3,3,2,1,11,HOUSTON,88,2,103000,1,10:30,12:10,1:40,100,3,9,1,1,1,1,2,1,2,5,3,3,4,5,5,6,6,5,6,5,6,5,5,5,6,5,3,6,6,5,2,,,,,3,5,3,2,3,FL,33921,US,12,6,2,0,1,1
1,4,3,3,2,1,11,HOUSTON,88,2,110000,2,11:00,12:10,1:10,70,2,9,1,1,2,2,2,1,2,3,3,3,3,3,3,3,3,4,3,3,2,2,3,3,3,3,3,3,3,5,2,,,,,3,3,3,1,3,NJ,8742,US,12,6,1,4,1,1
1,4,3,3,2,1,11,HOUSTON,88,2,110000,1,11:00,12:10,1:10,70,2,5,1,0,0,2,2,3,2,4,3,3,4,4,4,6,6,4,3,4,3,3,4,3,3,4,3,4,4,4,2,,,,,2,4,3,1,1,CA,94519,US,5,6,2,4,1,1
1,4,3,3,2,1,11,HOUSTON,88,2,83000,1,8:30,12:10,3:40,220,6,3,0,2,2,1,0,3,2,4,4,4,3,3,4,3,3,4,6,6,6,3,4,5,6,6,3,4,4,5,2,,,,,11,4,6,2,4,AZ,85382,US,10,6,2,4,1,1
1,4,3,3,2,1,11,HOUSTON,88,2,104500,1,10:45,12:10,1:25,85,5,1,2,2,2,2,2,3,2,4,4,3,4,4,4,3,4,3,4,6,6,6,4,3,4,6,6,3,3,5,2,,,,,5,5,1,1,1,CA,94114,US,1,7,1,4,1,1
1,2,4,3,2,1,28,VANCOUVER,70,2,93000,1,9:30,13:08,3:38,218,3,3,2,1,1,0,0,3,1,5,4,5,4,5,3,6,6,6,6,6,6,6,4,5,6,6,6,5,5,4,2,,,,,11,3,5,2,4,BC,,CANADA,13,3,2,2,1,1
1,2,4,3,2,1,28,VANCOUVER,70,2,110000,1,11:00,13:08,2:08,128,3,3,1,2,2,0,0,1,1,4,6,6,5,5,5,6,6,6,6,6,6,6,5,5,6,6,6,6,6,5,2,,,,,11,5,5,2,4,BC,,CANADA,13,3,1,1,1,1
1,2,4,3,2,1,28,VANCOUVER,70,2,113000,1,11:30,13:08,1:38,98,2,3,1,2,2,0,0,1,1,3,6,6,3,5,5,5,5,6,6,6,6,6,3,4,6,6,6,6,6,4,2,,,,,11,3,3,2,4,BC,,CANADA,13,3,1,1,1,1
1,2,4,3,2,1,28,VANCOUVER,70,2,115000,1,11:50,13:08,1:18,78,2,3,1,2,2,2,2,1,2,3,3,3,2,4,4,3,3,6,6,6,6,6,3,4,6,6,6,4,4,5,2,,,,,11,2,4,1,4,,,AUSTRALIA,19,2,1,1,1,1
1,2,4,3,2,1,28,VANCOUVER,70,2,,3,N,13:08,N,,1,3,0,2,0,2,2,1,2,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,3,2,,,,,11,4,0,2,4,,,SRI LANKA,16,5,2,0,1,1
1,2,4,3,2,1,28,VANCOUVER,70,2,120000,2,12:00,13:08,1:08,68,1,3,2,1,2,2,2,1,2,4,3,3,3,4,4,6,6,6,6,6,6,6,4,4,6,6,6,6,3,5,2,,,,,11,3,6,2,4,,,SRI LANKA,16,5,1,1,1,1
1,2,4,4,2,2,2,MONTREAL,10,2,103000,1,10:30,11:55,1:25,85,1,6,1,2,2,2,2,3,2,5,4,4,5,5,5,0,0,0,0,0,0,0,5,5,0,5,0,5,5,5,2,,,,,2,5,4,2,1,CA,94598,US,5,7,2,2,1,1
1,2,4,3,2,1,28,VANCOUVER,70,2,110000,1,11:00,13:08,2:08,128,3,3,1,2,2,2,2,1,2,2,2,2,1,3,1,4,4,6,6,6,6,6,3,5,6,6,6,6,5,5,2,,,,,11,2,1,1,4,BC,,CANADA,13,4,2,1,1,1
1,2,4,3,2,1,28,VANCOUVER,70,2,111000,1,11:10,13:08,1:58,118,1,1,2,1,1,2,2,1,2,4,3,4,3,3,3,6,6,3,3,6,3,6,3,3,3,6,6,4,3,3,2,,,,,7,3,2,1,1,CA,94087,US,4,5,2,1,1,1
1,2,4,3,2,1,28,VANCOUVER,70,2,104000,1,10:40,13:08,2:28,148,2,3,1,1,2,2,2,2,2,2,6,6,3,4,4,6,6,6,6,6,6,6,4,3,6,6,6,6,6,4,2,,,,,11,3,2,1,4,BC,,CANADA,13,6,1,0,1,1
1,2,4,3,2,1,28,VANCOUVER,70,2,,1,N,13:08,N,,2,3,1,2,2,2,2,1,2,5,5,5,5,5,5,5,5,5,6,6,6,6,5,5,0,0,0,0,5,0,2,,,,,11,5,5,2,4,,,,99,0,0,0,1,3
1,1,1,3,2,1,28,CRESCENT CIT,78,2,10000,2,13:00,15:23,2:23,143,3,3,2,2,2,0,0,1,1,5,6,6,5,5,5,5,5,6,6,6,6,6,5,5,6,6,6,6,5,5,1,5,,,,11,5,3,0,4,NV,89074,US,10,7,0,1,1,1
1,1,1,3,2,1,28,CRESCENT CIT,78,2,10000,2,13:00,15:23,2:23,143,2,3,2,2,1,0,0,2,1,3,3,4,5,5,5,6,6,6,6,6,6,6,4,3,6,6,6,5,6,5,2,,,,,11,5,6,2,4,OR,97444,US,10,7,2,2,1,1
