STREETA,STREETB,DIRECTION,AM_PEAKVOL,PM_PEAKVOL,DATE
Amherst St,Btwn Handly Wy & Schreiner Circle,NB,45,66,10/30/2012
23rd ST,approach to L St,SB,45,66,09/25/2013
NORMANDY LN,HILLSBORO LN,EB/WB,45,67,07/27/1993
E ST,21ST ST,EB,45,68,12/04/2007
DANBROOK DR,NANTUCKET WY,WB,45,69,06/23/2015
ASCOT AV,DRY CREEK RD,EB/WB,45,70,07/22/1998
5TH AV,27TH ST,EB/WB,45,70,10/14/2004
YOUNG ST,53RD ST,EB/WB,45,71,04/10/2001
ROBERTSON WY,RIVERSIDE BL,EB/WB,45,71,08/09/2001
DRY CREEK RD,HARRIS AV,NB,45,71,07/09/1996
ESTES WY,O CONNER WY,EB/WB,45,72,07/01/1997
MIRAMONTE DR,DEL VERDE CR,NB,45,73,04/06/2005
36TH ST,9TH AV,NB/SB,45,74,07/17/2003
NORTHSTEAD DR,EDMONTON DR,NB,45,74,06/10/2010
MC GLASHAN ST,PERRY AV,NB/SB,45,75,11/22/1993
8TH AV,RIVERSIDE BL,EB/WB,45,75,02/06/1996
MURIETA WY,CARMELA WY,EB,45,75,01/18/2006
3RD AV,30TH ST,EB/WB,45,78,10/14/1999
3RD AV,30TH ST,EB/WB,45,78,09/02/1999
SHINING STAR DR,CARROTWOOD CT,SB,45,81,06/14/2012
24TH AV,MARTIN LUTHER KING JR BL,EB/WB,45,83,09/30/2003
44TH ST,11TH AV,SB,45,85,08/29/1994
79TH ST,36TH AV,NB/SB,45,86,11/18/1992
MUIR WY,4TH AV,SB,45,89,05/01/1997
REGENCY PARK CR,ALVOCA WY,EB,45,96,06/21/2005
MAIN AV,BELOIT DR,WB,45,106,09/29/1994
LAKE PARK DR,FOXHALL WY,SB,45,113,08/09/1993
L ST,33RD ST,EB,45,125,11/08/2005
MAIN ENTRANCE RD,E COMMERCE WY,WB,44,6,03/06/2018
BUCHMAN ST,SAN JUAN RD,NB,44,20,01/12/2016
WEATHERFORD WY,GRANDSTAFF DR,WB,44,21,01/07/1997
26TH ST,4TH AV,NB,44,25,03/07/2007
61ST ST,11TH AV,NB,44,25,04/08/2008
LAKE FOREST DR,CHESTNUT HILL DR,EB,44,29,01/28/2016
JULIESSE AV,EDISON AV,EB/WB,44,30,08/25/2005
GERBER AV,DOWNEY WY,SB,44,31,02/15/2001
KERN ST,ROANOKE AV,NB,44,31,06/04/1997
TANTURA WY,EXPEDITION WY,NB,44,31,05/28/2008
12TH ST,V ST,NB,44,31,10/01/2008
79TH ST,MARIN AV,NB/SB,44,32,05/02/1998
DE MAR DR,COOL WIND WY,EB,44,32,01/25/2007
DEL RIO RD,NORMANDY LN,EB,44,33,10/29/2014
GARDEN VIEW WY,HOLLYHURST WY,EB,44,34,03/08/1993
62ND ST,16TH AV,NB,44,34,08/27/2015
BELMAR ST,WISSEMANN DR,NB,44,35,11/16/2010
MULBERRY LN,LANCASTER WY,NB,44,36,04/25/1995
MILLCREEK DR,WEST EL CAMINO AV,SB,44,38,04/09/1998
62ND ST,14TH AV,NB,44,38,07/01/2014
S ST,13TH ST,NB,44,38,09/22/2015
Y ST,STOCKTON BL,EB,44,39,06/18/2014
CLIFTON RD,ABBEY RD,NB,44,39,05/18/2016
ROOD AV,ACME AV,EB/WB,44,39,12/17/2019
69TH AV,AMHERST ST,EB/WB,44,40,01/14/1999
CAMP VERDE WY,CASA DEL SOL WY,SB,44,40,01/21/2009
35TH ST,C ST,NB/SB,44,42,04/25/1994
21ST ST,G ST,WB,44,42,02/20/2019
F ST,PICO WY,WB,44,43,09/08/2004
FERNANDEZ DR,26TH ST,EB/WB,44,44,04/04/1994
25TH ST,P ST,NB,44,44,12/11/1996
SUNNYFIELD WY,HERMITAGE WY,NB/SB,44,45,01/16/2014
26TH ST,P ST,SB,44,46,07/10/1997
R St,11th St & 12th St,EB,44,46,07/31/2012
ROANOKE AV,MARYSVILLE BL,EB,44,47,07/21/2011
CASA LINDA DR,24TH ST,EB,44,47,04/05/2016
U ST,39TH ST,EB/WB,44,48,07/06/1994
MAIN AV,MARYSVILLE BL,EB/WB,44,49,05/01/1998
51ST ST,H ST,NB/SB,44,49,05/05/1998
8TH AV,59TH ST,EB,44,49,03/15/2005
FORD RD,NORWOOD AV,EB,44,50,06/20/2017
FERNANDEZ DR,24TH ST,EB/WB,44,51,10/18/1995
SONOMA AV,CLAY ST,EB,44,51,12/02/2009
WRENWOOD DR,MANDY DR,SB,44,52,06/14/2012
62ND ST,16TH AV,NB/SB,44,52,08/27/2015
YOUNGS AV,PENROSE ST,EB/WB,44,53,11/19/1993
CANTERBURY RD,ARDEN WY,SB,44,53,10/08/2002
33RD ST,M ST,SB,44,53,07/13/2010
33RD ST,Btwn 4TH AV & 2ND AV,NB,44,53,09/05/2012
33RD ST,PARK WY,NB,44,53,08/04/2015
NORTH AV,MORGAN AV,EB,44,54,03/07/1994
11TH AV,RIVERSIDE BL,WB,44,54,12/19/1994
DANBROOK DR,NANTUCKET WY,EB,44,55,06/23/2015
McKINLEY BL,ELVAS AV,WB,44,55,07/03/2018
DIXIEANNE AV,BOXWOOD ST,WB,44,56,11/10/2005
AMERICAN AV,CLEVELAND AV,SB,44,56,05/19/2011
33RD ST,M ST,NB,44,57,07/13/2011
32ND ST,Btwn MARSHALL WY & 4TH AV,NB/SB,44,58,09/05/2012
V ST,57TH ST,EB/WB,44,59,11/09/2004
V ST,23RD ST,EB/WB,44,59,07/20/2016
PINELL ST,ROANOKE AV,SB,44,60,02/01/2005
6TH AV,33RD ST,EB/WB,44,60,06/14/2005
CARELLA DR,CANDLEWOOD WY,NB/SB,44,62,02/10/1992
20TH AV,19TH AV,EB/WB,44,63,05/09/2000
BELLEAU WOOD LN,FREEPORT BL,EB,44,64,07/17/1996
28TH ST,U ST,NB/SB,44,64,12/07/2005
SANTIAGO AV,GROVE AV,EB,44,65,10/08/2002
33RD AV,28TH ST,EB/WB,44,66,03/04/1993
BRADFORD DR-77TH ST,MARIN AV,SB,44,66,08/06/2002
ENCINAL AV,24TH ST,EB/WB,44,68,08/24/1994
BRIGGS DR,TORTOLA WY,NB/SB,44,68,06/28/2005
SILVER LAKE DR,SOUTH LAND PARK DR,WB,44,69,08/09/1993
ALTOS AV,ELEANOR AV,SB,44,69,05/15/1997
DEL RIO RD,NORMANDY LN,EB/WB,44,69,10/29/2014
MINDEN WY,BANFIELD DR,WB,44,70,03/05/2008
1ST AV,36TH ST,EB/WB,44,71,09/11/2001
HARRIS AV,MARYSVILLE BL,EB/WB,44,72,05/11/2004
40TH ST,8TH AV,NB/SB,44,77,04/13/2004
FORD RD,NORWOOD AV,WB,44,77,04/10/2007
CANNON ST,TAFT ST,EB/WB,44,82,09/11/2002
FRANCISCAN WY,VALLEY VALE WY,NB/SB,44,84,07/09/1997
2ND AV,RIVERSIDE BL,EB,44,88,04/11/2012
Moddison Av,btwn Sandburg Dr & Breuner Av,WB,44,89,10/25/2012
34TH ST,16TH AV,SB,44,91,03/04/2003
LAKE FRONT DR,STILL BREEZE WY,SB,44,93,03/01/1994
32ND AV,JACKS LN,EB/WB,44,93,05/29/1996
VANDENBERG DR,PEACOCK WY,EB/WB,44,94,06/19/1997
24TH ST,TEEKAY WY,NB/SB,44,99,04/23/2019
N ST,13TH ST,NB,44,101,01/15/2003
15TH AV,21ST ST,EB/WB,44,103,01/13/2000
K ST,20TH ST,NB,44,110,04/05/2016
FELL ST,LONGSHORE CT,NB,2,17,06/11/2008
NIMITZ ST,EMMONS ST,WB,4,10,10/24/2002
CUTTER WY,7TH AV,NB,43,16,10/30/2019
PINEDALE AV,SULLY ST,WB,43,20,10/08/2002
MARINA GLEN WY,WEST RIVER DR,NB,43,20,04/23/2003
SALTON SEA WY,OCEANFRONT CT,NB,43,22,01/25/2007
RIVER RANCH WY,SMOKE RIVER WY,NB,43,22,02/15/2007
LAMPASAS AV,EDGEWATER RD,EB,43,25,03/11/2010
PARK VILLAGE ST,35TH AV,NB/SB,43,27,04/15/2008
ROCKYBEND DR,PEBBLEWOOD DR,EB/WB,43,29,04/06/2005
GANDY DANCER WY,EXPRESS CT,EB,43,30,10/29/2014
VINCI AV,RALEY BL,WB,43,30,06/28/2016
DONNER WY,25TH ST,WB,43,31,10/22/1992
BORONA WY,COROVAL DR,EB/WB,43,31,01/19/2006
LAKE PARK DR,WESTLYNN WY,NB,43,32,08/12/1993
WINDSONG ST,S of GOLDEN LIGHT LN,SB,43,34,07/18/2012
MAIN AV,MARYSVILLE BL,WB,43,36,09/07/2005
POCKET RD,RIVERGATE WY,WB,43,36,09/22/2015
FUNSTON DR,TOURNEY WY,SB,43,37,06/02/2005
WARDELL WY,CANOVA WY,EB/WB,43,37,02/16/2006
MACON DR,MAYBROOK DR,WB,43,37,01/24/2008
21ST ST,G ST,SB,43,38,06/08/2006
53RD ST,BROADWAY,SB,43,38,09/22/2011
ALLAIRE CR,LOLET WY,EB/WB,43,38,10/28/2015
KEITH WY,ETHAN WY,EB,43,39,03/19/1997
11TH AV,22ND ST,EB/WB,43,39,09/14/2005
SEA FOREST WY,DEER WATER DR,EB/WB,43,39,04/15/2008
12TH ST,T ST,NB,43,40,09/14/2006
32ND ST,TRENTWOOD WY,SB,43,40,04/01/2009
20TH ST,C ST,SB,43,40,10/07/2014
57TH AV,24TH ST,WB,43,42,04/15/2008
BALSAM ST,BELL AV,EB/WB,43,43,09/11/1997
BARANDAS DR,WATERCOURSE WY,NB,43,43,04/22/2003
NASCA WY,GRIGGS WY,EB/WB,43,43,06/03/2003
GRACE AV,WINDCLOUD AV,WB,43,43,07/19/2005
STANDRICH ST,BELL AV,SB,43,43,05/13/2014
GANDY DANCER WY,EXPRESS CT,EB/WB,43,43,10/29/2014
BOWLING GREEN DR,MIDDLEBERRY RD,WB,43,43,01/06/2015
K ST,10TH ST,WB,43,43,11/15/2018
NORTHVIEW DR,WEST EL CAMINO AV,SB,43,44,07/16/1996
PINELL ST,WAINWRIGHT ST,SB,43,44,07/10/1997
55TH ST,F ST,NB/SB,43,44,03/06/1998
F ST,21ST ST,WB,43,44,12/05/2007
13TH ST,V ST,NB/SB,43,44,10/01/2008
MC KINLEY BL,MEISTER WY,EB,43,44,06/16/2010
SAN FRANCISCO BL,52ND ST,WB,43,45,12/14/2006
W SILVER EAGLE RD,NORTHGATE BL,EB/WB,43,45,05/24/2016
J ST,27TH ST,SB,43,45,04/05/2016
NORTH C ST,AHERN ST,EB,43,46,06/02/1994
39TH ST,C ST,NB/SB,43,47,04/25/1994
52ND ST,P ST,NB,43,48,03/11/2003
I ST,SANTA YNEZ WY,EB/WB,43,48,01/08/2004
44th St,Btwn J St & M St,NB/SB,43,48,09/05/2012
WHITTIER DR,ALCOTT DR,NB/SB,43,49,02/19/1997
WOODLAKE DR,CAMBRIDGE ST,EB/WB,43,49,03/03/1999
PINELL ST,ROANOKE AV,SB,43,49,03/09/2006
SHINING STAR DR,PENNYWOOD CT,NB,43,49,06/14/2012
25TH AV,36TH ST,EB/WB,43,50,04/05/2001
25TH ST,H ST,SB,43,50,08/16/2000
OXFORD ST,WOODLAKE DR,NB/SB,43,50,02/06/1996
OREGON DR,MONTEREY WY,EB/WB,43,51,08/14/1996
45TH ST,H ST,NB,43,51,07/27/2006
34TH AV,JAMES WY,WB,43,51,02/21/2007
32ND ST,FOLSOM BL,NB/SB,43,51,07/22/2009
BELLEAU WOOD LN,FREEPORT BL,EB,43,51,03/21/2012
9TH AV,STOCKTON BL,EB/WB,43,52,12/13/1994
23RD ST,S OF T ST,SB,43,52,03/22/2006
11TH AV,LAND PARK DR,WB,43,53,04/16/2001
11TH AV,RIVERSIDE BL,WB,43,53,03/04/2003
OAKMONT ST,DIXIEANNE AV,NB/SB,43,53,08/05/2003
5TH AV,24TH ST,EB/WB,43,53,10/14/2004
28TH ST,C ST,SB,43,54,11/15/2016
C ST,COLOMA WY,EB,43,55,01/31/2006
61ST ST,FOLSOM BL,NB,43,55,04/05/2006
MAYBROOK DR,Btwn MABRY DR & CLUB CENTER DR,NB,43,55,01/29/2013
TAMWORTH WY,TERALBA WY,NB/SB,43,56,04/06/2005
47TH AV,HOGAN DR,EB/WB,43,57,04/29/2009
79TH ST,FRUITRIDGE RD,SB,43,58,06/25/1997
40TH ST,E ST,NB/SB,43,59,03/28/1995
RANCHO PICO WY,VILLA JUAREZ CR,WB,43,59,05/23/1996
26TH ST,P ST,SB,43,59,03/13/1998
DUNLAY DR,AUTUMN MEADOW AV,SB,43,61,08/10/2010
REDWOOD AV,EDGEWATER RD,EB/WB,43,62,08/31/1993
HOLLYHURST WY,VALLEY HI DR,NB/SB,43,63,12/18/1997
WENTWORTH AV,ALTURAS WY,EB,43,63,03/22/2003
25TH ST,MARTIN LUTHER KING JR BL,EB/WB,43,63,09/30/2003
HARIAN WY,FREEPORT BL,EB/WB,43,64,05/11/2000
HAGGIN AV,AMERICAN AV,EB/WB,43,64,05/11/2000
CULPEPPER DR,HAMBURG WY,NB,43,64,01/10/2007
CALVADOS AV,EMPRESS ST,EB/WB,43,65,08/05/2003
ARROYO VISTA DR,ARUBA CR,NB/SB,43,65,10/14/2004
CANTERBURY RD,WOODLAKE DR,NB/SB,43,65,05/03/2005
ELEANOR AV,BRANCH ST,SB,43,67,03/04/2010
18TH ST,G ST,NB,43,68,10/12/1993
53RD AV,SUN RIVER DR,WB,43,68,03/02/1998
D ST,19TH ST,EB,43,68,10/06/2009
ALAMOS AV,PERKTEL ST,EB/WB,43,70,12/02/2009
RENE AV,ASTORIA ST,EB,43,75,11/18/1991
DE MAR DR,COOL WIND WY,EB/WB,43,76,12/02/1997
21ST ST,D ST,NB,43,76,12/04/2018
MYOTIS DR,MUTTONBIRD WY,WB,43,77,04/28/2009
EDMONTON DR,PARODY WY,EB,43,81,07/21/1994
15TH AV,FREEPORT BL,EB/WB,43,85,05/09/2000
26TH ST,5TH AV,SB,43,87,09/16/2008
SUN RIVER DR,ANDORA WY,NB/SB,43,91,12/03/2002
MANDY DR,SHINING STAR DR,SB,43,96,06/14/2012
LAKE FRONT DR,RUSH RIVER DR,SB,43,102,03/01/1994
75TH ST,51ST AV,SB,43,105,01/21/2009
20TH ST,G ST,NB,43,129,05/21/2015
REDONDO AV,GROVE AV,EB/WB,43,130,06/05/1996
C ST,16TH ST,WB,43,151,01/08/2003
17TH ST,CAPITOL AV,SB,43,176,07/12/2007
SORENTO RD,DEL PASO BL,NB/SB,43,268,03/03/1999
MINDEN WY,FREDERICKSBURG WY,EB,42,13,03/05/2008
NASCA WY,GRIGGS WY,WB,42,15,01/31/2007
MARTY WY,MARKHAM WY,NB,42,20,03/17/1998
RIVER ISLE WY,POCKET RD,WB,42,21,05/01/1996
PARK VILLAGE ST,35TH ST,NB,42,23,10/04/2006
61ST ST,RAYMOND WY,NB,42,24,11/30/2006
MOORBROOK WY,ERINBROOK WY,SB,42,25,02/01/1995
MILL OAK WY,TRUXEL RD,WB,42,25,05/16/2007
BUCHMAN CR,SAN JUAN RD,NB/SB,42,27,05/06/2003
42ND ST,H ST,SB,42,28,03/04/2003
MAMMOTH WY,SODA WY,EB,42,28,02/25/2010
51ST ST,F ST,NB,42,28,11/06/2012
13TH ST,T ST,NB,42,28,04/03/2019
F ST,12TH ST,WB,42,29,05/22/2014
F Street,approach to 12th Street,WB,42,29,05/22/2014
3RD AV,21ST ST,EB/WB,42,30,04/03/2001
BURBERRY WY,BRADBURN DR,EB,42,30,08/10/2010
TAYLOR ST,GRAND AV,NB,42,31,10/15/2009
MURIETA WY,DANA WY,EB,42,33,02/06/2007
SPARROW DR,MYOTIS DR,EB,42,33,01/27/2015
GERBER AV,DOWNEY WY,NB,42,34,02/15/2001
MONAGHAN CR,PEDRICK ST,EB/WB,42,34,03/14/2006
34TH ST,J ST,NB/SB,42,36,11/08/2005
SEA FOREST WY,DEER WATER DR,EB/WB,42,36,03/14/2006
VANDERBILT WY,ELMHURST CR,WB,42,37,01/24/2006
3RD ST,MUIR WY,EB/WB,42,38,05/13/1998
3RD AV,10TH ST,EB/WB,42,38,05/13/1998
MEAD AV,ALVINA AV,NB,42,39,09/16/1993
NORWICH CT,NORTHVIEW DR,EB/WB,42,39,09/16/2003
BOXWOOD ST,DIXIEANNE AV,SB,42,39,11/10/2005
ROCKHAMPTON DR,GRENDEL WY,NB,42,40,10/15/1997
SAINTSBURY DR,FAR NIETE WY,NB/SB,42,40,04/16/2003
G ST,19TH ST,EB,42,40,12/08/2005
32ND ST,M ST,NB,42,40,11/08/2005
45TH AV,F ST,SB,42,40,01/31/2006
32ND AV,GILGUNN WY,EB/WB,42,41,03/24/1998
ARROYO VISTA DR,ARUBA CR,SB,42,42,12/06/1993
OXFORD ST,BLACKWOOD ST,NB/SB,42,42,02/06/1996
10TH AV,FREEPORT BL,WB,42,42,11/14/2007
ELEANOR AV,GROVE AV,EB,42,42,02/08/2006
QUINN AV,RIVERSIDE BL,EB,42,43,06/04/2003
F ST,46TH ST,EB,42,43,05/28/2003
CUTTER WY,11TH AV,NB/SB,42,43,11/03/2004
8TH AV,50TH ST,EB/WB,42,43,01/20/2005
BABETTE WY,BABBETTE WY N ELBOW,NB/SB,42,43,05/13/2009
VENTURA ST,ENCINAL AV,NB,42,44,09/13/2005
COUGAR DR,CAMP VERDE WY,WB,42,44,01/20/2009
MABRY DR,MAYBROOK DR,WB,42,44,09/10/2009
SENIDA WY,ROCKHAMPTON DR,EB/WB,42,45,11/01/2001
MORELL ST,WEST EL CAMINO AV,NB/SB,42,45,11/01/2018
64TH ST,SABO DR,NB/SB,42,45,01/08/2015
47TH ST,J ST,NB,42,46,05/16/1995
EL RITO WY,GRAND RIVER DR,NB/SB,42,46,02/23/2005
EL RITO WY,GRAND RIVER DR,NB/SB,42,46,02/23/2005
MC CLATCHY WY,MUIR WY,EB/WB,42,47,04/03/2001
WHITTIER DR,25TH AV,NB/SB,42,47,03/09/1995
RENE AV,ASTORIA ST,EB/WB,42,47,08/02/2005
23RD ST,S OF CAPITOL AV,NB,42,47,05/25/2006
36TH WY,SAN ANTONIO WY,WB,42,47,12/05/2013
BILSTED WY,ENDEAVOR WY,NB/SB,42,47,01/27/2015
STEAMBOAT WY,GLORIA DR,NB/SB,42,48,04/09/1997
G ST,30TH ST,EB,42,48,07/13/1999
NORTH AV,PINELL ST,SB,42,48,07/20/2006
CANTERBURY RD,LOCHBRAE RD,NB/SB,42,49,11/14/2002
MACON DR,MAYBROOK DR,EB,42,49,01/24/2008
3RD AV,10TH ST,EB/WB,42,49,10/01/2015
CARMELA WY,MURIETA WY,WB,42,49,12/15/2015
HAGGIN AV,NORTHGATE BL,EB/WB,42,51,05/07/1997
9TH AV,33RD ST,WB,42,52,06/14/2005
35TH ST,N ST,NB,42,53,02/16/1995
H ST,22ND ST,WB,42,53,01/12/2006
MCLAREN AV,MCALLISTER AV,NB/SB,42,53,03/20/2012
ASCOT AV,DRY CREEK RD,WB,42,54,11/14/1991
11TH AV,LAND PARK DR,WB,42,54,08/31/1993
NEVIS CT,SOUTH LAND PARK DR,EB/WB,42,54,06/10/2003
CLAIRE AV,MARYSVILLE BL,EB,42,54,05/13/2014
MABRY DR,BURBERRY WY,WB,42,54,01/15/2014
32ND ST,Y ST,SB,42,55,03/10/1994
DEMARET DR,VARDON AV,NB/SB,42,56,05/18/2000
4TH AV,42ND ST,WB,42,56,06/18/2008
38TH ST,H ST,NB/SB,42,57,09/19/1993
ORTEGA ST,JANSEN DR,NB/SB,42,58,11/25/1997
COLOMA WY,PICO WY,NB,42,58,09/08/2004
SEAWIND DR,BAYWIND DR,NB/SB,42,58,07/19/2005
SANTA CRUZ WY,3RD AV,NB/SB,42,58,06/18/2008
55TH ST,T ST,NB/SB,42,59,07/06/1994
BRADFORD DR,VANDENBERG DR,NB,42,59,06/19/1997
BALSAM ST,GRAND AV,NB/SB,42,59,07/21/2004
12TH AV,RIVERSIDE BL,EB,42,59,03/31/2005
CONNIE DR,EL CAMINO AV,NB/SB,42,60,05/07/2002
TIERRA WOOD WY,BRIDLE TRAIL WY,EB/WB,42,60,08/04/1994
LAURIE WY,DETROIT BL,WB,42,61,09/01/1998
18TH AV,69TH ST,EB/WB,42,63,11/29/1995
COUGAR DR,50TH AV,NB,42,63,01/20/2009
ALTOS AV,LEITCH AV,SB,42,64,05/15/1997
46TH ST,PERRY AV,NB/SB,42,64,02/09/1999
F ST,22ND ST,WB,42,64,01/18/2006
EL CENTRO RD,CALLISON DR,NB,42,64,06/15/2006
LAMPASAS AV,FAIRFIELD ST,EB/WB,42,65,05/15/1997
65TH ST,14TH AV,NB/SB,42,65,07/01/1997
M ST,55TH ST,SB,42,65,02/12/2003
EMPRESS ST,DIXIEANNE AV,NB/SB,42,65,11/10/2005
BELLEAU WOOD LN,FREEPORT BL,WB,42,65,04/12/2007
FORD RD,WESTERN AV,WB,42,65,11/18/2010
22ND ST,V ST,SB,42,65,01/25/2012
69TH ST,40TH AV,NB/SB,42,66,03/03/1993
O ST,22ND ST,EB,42,67,01/05/2006
FAIRGROUNDS DR,BROADWAY,NB/SB,42,68,02/01/2001
71ST ST,EMERSON RD,NB/SB,42,69,11/30/1994
ATLAS AV,28TH ST,WB,42,69,01/15/2008
DEL RIO RD,CAMPBELL LN,NB/SB,42,70,09/11/1997
22ND ST,U ST,SB,42,70,03/04/2010
VERANO ST,DEL PASO BL,EB/WB,42,71,03/03/1993
MANORSIDE DR,MONARCH AV,NB/SB,42,71,09/24/1996
33RD ST,14TH AV,SB,42,71,08/16/2005
O ST,19TH ST,EB,42,71,10/13/2009
RAY ST,SILICA AV,SB,42,72,04/03/1997
WEST STOCKTON BL,COTTON LN,SB,42,72,03/18/2010
ELDER CREEK RD,LOGAN ST,SB,42,75,06/18/2009
D ST,22ND ST,EB/WB,42,78,08/18/1998
35TH AV,28TH ST,EB/WB,42,78,03/10/1993
MEDITERRANEAN WY,JORDAN CT,EB/WB,42,78,05/03/2005
53RD ST,9TH AV,SB,42,79,12/06/2006
EMMONS ST,MAC ARTHUR ST,EB/WB,42,80,08/14/1998
MABRY DR,HOYT ST,EB,42,80,02/17/2015
57TH ST,M ST,SB,42,92,05/08/1995
NORTHBOROUGH DR,WADSWORTH WY,NB,42,96,06/16/2005
40TH ST,11TH AV,NB,42,99,12/19/1996
INNOVATOR DR,CITRINE CIR,SB,42,109,07/10/2007
SAINTSBURY DR,FAR NIENTE WY,SB,42,111,06/15/2011
75TH ST,BELLINI WY,SB,42,113,01/20/2009
LAKE FRONT DR,EAST BAY LN,WB,42,127,03/01/1994
BANNON ST,SEQUOIA PACIFIC BL,NB,42,312,06/18/2015
TAILWIND DR,TAYLOR ST,EB,4,18,11/13/2005
COLFAX ST,EL CAMINO AV,SB,41,19,04/17/2001
KNIGHT WY,23RD ST,WB,41,19,01/12/2006
TAMWORTH WY,TERALBA WY,NB,41,20,03/06/2007
RIVERCREST DR,RIVERSIDE BL,EB,41,24,04/12/2007
26TH ST,CASTRO WY,NB,41,27,06/04/1997
RIVER CITY WY,Btwn MILL CREEK DR & RIVER CITY WY (EAST ELBOW),EB/WB,41,27,10/30/2012
POTOMAC AV,NORTHGATE BL,EB/WB,41,28,06/12/2008
CASTRO WY,FLORENCE PL,EB/WB,41,29,11/28/1995
BARANDAS DR,DELPHINIUM WY,NB,41,29,05/28/2003
8TH AV,60TH ST,WB,41,29,12/07/2006
32ND ST,5TH AV,SB,41,30,06/02/2010
REDWOOD AV,EDGEWATER RD,WB,41,31,05/01/1995
27TH ST,CASTRO WY,NB,41,31,03/07/2007
I ST,ALHAMBRA BL,EB,41,32,03/22/2005
36TH ST,SAN MIGUEL WY,SB,41,33,06/16/2010
HOOKE WY,24TH ST,EB/WB,41,34,12/14/1994
MULBERRY LN,LANCASTER WY,NB,41,34,08/08/1996
42ND ST,,NB/SB,41,34,08/07/2019
46TH AV,F ST,SB,41,35,01/31/2006
SODA WY,MAMMOTH WY,SB,41,35,12/17/2009
11TH AV,FREEPORT BL,EB,41,36,09/09/2000
13TH ST,R ST,NB,41,36,02/28/1996
CHARM WY,HERBAL WY,EB,41,36,01/06/2015
BRAND WY,COLOMA WY,WB,41,37,08/19/2003
CASTRO WY,26TH ST,WB,41,37,03/07/2007
13th St,from D St to E St,SB,41,37,09/18/2012
YREKA AV,24TH ST,WB,41,37,01/23/2019
ARCHCREST WY,CLUB CENTER DR,NB/SB,41,38,04/08/2008
KIM AV,CADJEW AV,WB,41,39,05/13/2009
39TH ST,C ST,NB/SB,41,40,09/15/2004
DENISE ST,LISA WY,NB,41,41,02/22/1993
HELEN WY,STOVER WY,NB,41,41,01/11/2006
CANTERBURY RD,WOODLAKE DR,NB/SB,41,41,04/28/2009
NORTH LAGUNA DR,FRANKLIN BL,EB/WB,41,42,08/14/1996
36TH ST,23RD AV,SB,41,42,09/27/2005
37TH ST,6TH AV,NB/SB,41,42,09/19/2015
OXFORD ST,BLACKWOOD ST,NB/SB,41,43,03/02/1999
23RD AV,ATLAS AV,EB/WB,41,43,09/13/2005
KATHARINE AV,BALSAM ST,EB/WB,41,44,11/19/1993
VILLAGE WOOD DR,ACMAR CT,WB,41,44,05/10/1994
MC CORMACK ST,AHERN ST,WB,41,44,06/02/1994
PINELL ST,ROANOKE AV,SB,41,45,06/12/2014
REGINA WY,MARKHAM WY,NB/SB,41,46,01/06/2004
CALVADOS AV,LEXINGTON ST,EB,41,47,03/06/2008
JEFFERSON AV,NORTHGATE BL,EB/WB,41,47,05/19/2011
7TH AV,RIVERSIDE BL,EB,41,48,01/20/1993
18TH ST,V ST,SB,41,48,10/01/2008
34TH ST,16TH AV,SB,41,49,08/13/2003
9TH AV,33RD ST,WB,41,49,04/08/2008
GLOBE AV,DEL PASO BL,NB/SB,41,50,09/23/1999
MEDITERRANEAN WY,Btwn CARIBBEAN WY & OCCIDENTAL DR,EB/WB,41,50,07/25/2013
BALFOUR WY,MATSON DR,SB,41,50,04/27/2016
SEA FOREST WY,DEER WATER DR,EB/WB,41,51,03/30/2005
ALTOS AV,LEITCH AV,EB,41,51,07/16/2014
62ND ST,M ST,NB/SB,41,52,07/20/1993
LAS PALMAS AV,BRANCH ST,EB/WB,41,52,12/02/2009
32ND ST,Btwn 5TH AV & MARSHALL WY,NB/SB,41,52,09/05/2012
20TH ST,G ST,SB,41,52,05/21/2015
18TH AV,76TH ST,EB/WB,41,54,04/21/2004
YOUNGS AV,BALSAM ST,EB/WB,41,54,06/11/2008
33RD ST,L ST,SB,41,54,07/13/2010
D St,west of 16th St,WB,41,55,02/26/2013
36TH ST,H ST,NB/SB,41,56,02/23/2000
NORCROSS DR,ARUNDEL WY,NB/SB,41,56,03/15/1993
CARROLL AV,NORWOOD AV,EB/WB,41,56,11/10/1998
HOGAN DR,Btwn 57TH ST & DEMARET DR,NB/SB,41,56,01/29/2013
JERRY LITELL WY,Btwn HONOR PKWY & END,EB/WB,41,56,09/05/2012
BLACKWOOD ST,CANTALIER ST,EB/WB,41,57,03/02/1999
JUDAH ST,DEL PASO BL,NB/SB,41,57,12/10/2008
Fancy Wy,btwn Bridgecross Dr & Charm Wy/Herbal Wy,SB,41,57,10/25/2012
37TH ST,7TH AV,NB/SB,41,57,05/20/2015
WINTER GARDEN AV,NORTHGATE BL,WB,41,58,10/05/2004
HAWTHORNE ST,LEITCH AV,NB/SB,41,59,08/28/2001
GARDENDALE RD,BALFORD ST,WB,41,59,10/08/1992
WRENWOOD DR,BROOKFIELD DR,NB,41,59,11/03/1993
LOMA VERDE WY,UTAH AV,SB,41,59,01/26/2012
23RD ST,H ST,NB,41,60,09/07/2006
VENTURA ST,43RD AV,NB/SB,41,61,10/24/1994
DRY CREEK RD,HARRIS AV,NB,41,62,06/15/2004
