STREETA,STREETB,DIRECTION,AM_PEAKVOL,PM_PEAKVOL,DATE
STOCKTON BL,EL PARAISO AV,NB/SB,2273,2389,11/16/2002
HOWE AV,SWARTHMORE DR,NB,2272,2483,10/22/2008
TRUXEL RD,I-80 WB ON RAMP,SB,2266,2667,03/10/2015
HOWE AV,RT 50,SB,2260,2455,10/25/2007
RICHARDS BL,BERCUT DR,EB/WB,2257,2311,10/01/2008
FRANKLIN BL,VALLEY HI DR,NB/SB,2253,1721,08/01/2000
HOWE AV,FAIR OAKS BL,NB/SB,2252,2873,11/16/1993
FOLSOM BL,JACKSON RD,EB/WB,2247,1323,03/15/2003
STOCKTON BL,EL PARAISO AV,NB/SB,2247,2472,11/23/2002
FAIR OAKS BL,HOWE AV,EB/WB,2245,3121,10/01/1998
WEST EL CAMINO AV,RT 5 NBOFF R,EB/WB,2244,2619,11/09/1993
12TH ST,C ST,SB,2239,1472,02/25/1993
POWER INN RD,FOLSOM BL,SB,2238,2560,09/20/2017
POWER INN RD,HICKORY AV,NB/SB,2237,2294,11/10/1998
SUTTERVILLE RD,22ND ST,EB/WB,2236,2190,09/05/1995
MEADOWVIEW RD,24TH ST,EB/WB,2236,2657,04/28/2010
FREEPORT BL,SUTTERVILLE RD,NB/SB,2231,2636,11/01/2007
FLORIN RD,SOUTH LAND PARK DR,EB/WB,2226,2000,06/24/1992
EL CAMINO AV,RT 80,EB/WB,2225,2477,10/04/2007
SOUTH WATT AV,FOLSOM BL,NB/SB,2222,2306,02/12/2006
Q ST,5TH ST,EB,2218,963,11/14/2018
MEADOWVIEW RD,DETROIT BL,EB/WB,2218,2626,02/03/1994
POWER INN RD,18TH AV,NB/SB,2216,2329,09/13/1994
FLORIN PERKINS RD,JACKSON RD,NB/SB,2213,2105,03/18/1997
FRANKLIN BL,FLORIN RD,NB/SB,2209,2349,09/17/2008
POWER INN RD,21ST AV,NB/SB,2204,2197,12/10/2003
RICHARDS BL,RT 5,EB/WB,2204,2541,12/10/2003
FOLSOM BL,BICENTENNIAL CR,EB/WB,2203,2889,06/01/1994
J ST,6TH ST,EB,2195,1288,05/18/2011
COSUMNES RIVER BL,BRUCEVILLE RD,EB,2186,1551,11/17/2015
HOWE AV,LA RIVERA DR,NB,2186,2326,02/05/2003
TRUXEL RD,I-80 WB RAMPS,NB,2177,1906,03/10/2015
FRANKLIN BL,EHRHARDT AV,NB/SB,2177,2366,02/04/2014
FRUITRIDGE RD,POWER INN RD,EB/WB,2177,2518,09/15/1994
FRANKLIN BL,32ND AV,NB/SB,2177,2730,08/23/1995
HOWE AV,AMERICAN AV,NB,2176,2716,03/23/1999
